title,brand,product name,keywords,new_price,old_price,discount,shades,rating_count,review_count,weight,weight_ml,weight_g,item,subitem,rating
Nykaa Cosmetics X Naagin Hot Sauce Plumping Lip Gloss,Nykaa,Cosmetics X Naagin Hot Sauce Plumping Lip Gloss,"FEATURED
NEW",509,599,0.15,,42,15,1.5ml,1.5,,Lip Gloss,Lips,4.1
Kay Beauty Hydra Creme Lipstick,Kay,Beauty Hydra Creme Lipstick,"FEATURED
BESTSELLER",989,1099,0.10,20,5327,1165,3.6g,,3.6,Lipstick,Lips,4.5
Charlotte Tilbury Airbrush Flawless Finish Refillable,Charlotte,Tilbury Airbrush Flawless Finish Refillable,"FEATURED
BESTSELLER",4950,,,3,2349,311,8g,,8,Compact,Face,4.5
M.A.C Studio Fix Fluid SPF 15 Soft Matte Foundation With Hya...,M.A.C,Studio Fix Fluid SPF 15 Soft Matte Foundation With Hya...,"FEATURED
BESTSELLER",3400,4000,0.15,59,685525,1711,30ml,30,,Foundation,Face,4.4
MARS City Paradise Makeup Kit,MARS,City Paradise Makeup Kit,"FEATURED
BESTSELLER",474,499,0.05,7,4738,219,16 g,,16,Makeup Kits,Makeup Kits & Combos,4.5
Faces Canada Magneteyes Mascara,Faces,Canada Magneteyes Mascara,"FEATURED
BESTSELLER",299,399,0.25,4,32906,1224,9.5ml,9.5,,Mascara,Eyes,4.4
fwee Lip&Cheek Blurry Pudding Pot,fwee,Lip&Cheek Blurry Pudding Pot,"FEATURED
BESTSELLER",1490,,,35,85,35,5g,,5,Lip Tint,Lips,4.8
Maybelline New York Instant Age Rewind Eraser Concealer-Conc...,Maybelline,New York Instant Age Rewind Eraser Concealer-Conc...,"FEATURED
BESTSELLER",519,799,0.35,9,934328,8066,6ml,6,,Concealer,Face,4.3
L'Oreal Paris Voluminous Panorama Waterproof Mascara Volumiz...,L'Oreal,Paris Voluminous Panorama Waterproof Mascara Volumiz...,"FEATURED
BESTSELLER",849,999,0.15,,1958,410,9.4ml,9.4,,Mascara,Eyes,4.4
Lakme 9 to 5 Eyeconic Liquid Eyeliner,Lakme,9 to 5 Eyeconic Liquid Eyeliner,"FEATURED
BESTSELLER",276,325,0.15,4,118252,3454,4.5ml,4.5,,Eyeliner,Eyes,4.4
"RENEE Midnight Kohl Pencil, Black, Waterproof, Smudge-proof,...",RENEE,"Midnight Kohl Pencil, Black, Waterproof, Smudge-proof,...","FEATURED
BESTSELLER",399,450,0.11,,12777,1808,1.5 g,,1.5,Kajal,Eyes,4.2
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water F...,Garnier,Skin Naturals Micellar Oil-Infused Cleansing Water F...,"AD
BESTSELLER",449,499,0.10,2,269016,9205,400ml,400,,Makeup Remover,Face,4.5
Maybelline Lash Sensational Sky High Mascara Cosmic Black,Maybelline,Lash Sensational Sky High Mascara Cosmic Black,BESTSELLER,519,799,0.35,4,72568,2825,6ml,6,,Mascara,Eyes,4.4
Nykaa Cosmetics So Creme! Creamy Matte Lipstick,Nykaa,Cosmetics So Creme! Creamy Matte Lipstick,BESTSELLER,197,329,0.40,35,4028908,16426,4.2g,,4.2,Lipstick,Lips,4.3
"Swiss Beauty Bold Matt Lip Liner Pencil, Long-lasting , Matt...",Swiss,"Beauty Bold Matt Lip Liner Pencil, Long-lasting , Matt...",BESTSELLER,69,,,15,263642,8919,1.6g,,1.6,Lip Liner,Lips,4.4
Maybelline New York Fit Me Matte+Poreless 16H Oil Control Fo...,Maybelline,New York Fit Me Matte+Poreless 16H Oil Control Fo...,"AD
BESTSELLER",454,649,0.30,21,4347444,13366,30ml,30,,Foundation,Face,4.4
Kay Beauty Hydrating Foundation,Kay,Beauty Hydrating Foundation,BESTSELLER,1013,1350,0.25,20,470018,2384,30g,,30,Foundation,Face,4.4
"L'Oreal Paris Infallible 3-Second Setting Spray, 36hr Long L...",L'Oreal,"Paris Infallible 3-Second Setting Spray, 36hr Long L...",BESTSELLER,759,799,0.05,,989,242,75ml,75,,Setting Spray,Face,4.5
MARS Double Trouble Mascara,MARS,Double Trouble Mascara,BESTSELLER,269,299,0.10,,19547,1917,15ml,15,,Mascara,Eyes,4.4
Charlotte Tilbury Hollywood Flawless Filter Mini,Charlotte,Tilbury Hollywood Flawless Filter Mini,"AD
BESTSELLER",2000,,,4,3533,439,5.5ml,5.5,,Contour,Face,4.4
Nykaa Matte To Last ! Transferproof Liquid Lipstick,Nykaa,Matte To Last ! Transferproof Liquid Lipstick,BEST IN BEAUTY,449,749,0.40,22,2389621,11823,6.2ml,6.2,,Liquid Lipstick,Lips,4.3
"Maybelline New York Super Stay Matte Ink Liquid Lipstick, La...",Maybelline,"New York Super Stay Matte Ink Liquid Lipstick, La...",,449,749,0.40,34,3873252,14390,5ml,5,,Liquid Lipstick,Lips,4.4
Flicka Silk Touch 3-In-1 Moisturizer Primer And Sun Care Der...,Flicka,Silk Touch 3-In-1 Moisturizer Primer And Sun Care Der...,,836,899,0.07,,1012,126,60g,,60,Face Primer,Face,4.4
"Insight Cosmetics Banana Loose Powder, Oil Control Formula, ...",Insight,"Cosmetics Banana Loose Powder, Oil Control Formula, ...",AD,228,240,0.05,,24547,810,40gm,,40,Loose Powder,Face,4.3
Charlotte Tilbury Airbrush Flawless Setting Spray,Charlotte,Tilbury Airbrush Flawless Setting Spray,BEST IN BEAUTY,3950,,,3,9146,398,100ml,100,,Setting Spray,Face,4.6
Kay Beauty Waterproof 24 Hour Kajal - Spade Black,Kay,Beauty Waterproof 24 Hour Kajal - Spade Black,,269,299,0.10,,28829,4407,0.35g,,0.35,Kajal,Eyes,4.4
"LOreal Paris Infallible Full Wear Concealer, Maximum Coverag...",LOreal,"Paris Infallible Full Wear Concealer, Maximum Coverag...",,594,849,0.30,5,68152,1830,10ml,10,,Concealer,Face,4.4
"Lakme Xtraordin-Airy Mattereal Mousse Foundation, Matte Fini...",Lakme,"Xtraordin-Airy Mattereal Mousse Foundation, Matte Fini...",AD,699,999,0.30,6,530920,5158,25g,,25,Foundation,Face,4.4
"Maybelline New York Super Stay Vinyl Ink Liquid Lipstick, In...",Maybelline,"New York Super Stay Vinyl Ink Liquid Lipstick, In...",BEST IN BEAUTY,594,849,0.30,23,47613,4083,4.2ml,4.2,,Liquid Lipstick,Lips,4.4
Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun...,Daily,Life Forever52 Pro Artist Ultra Definition Liquid Foun...,,1619,1799,0.10,12,15640,688,60ml,60,,Foundation,Face,4.4
Charlotte Tilbury Matte Revolution,Charlotte,Tilbury Matte Revolution,,3450,,,16,66963,1086,3.5g,,3.5,Lipstick,Lips,4.4
Estee Lauder Double Wear Stay-In-Place Makeup Mini Foundatio...,Estee,Lauder Double Wear Stay-In-Place Makeup Mini Foundatio...,AD,2040,2400,0.15,7,21679,767,15ml,15,,Foundation,Face,4.4
